Date,Price
2025-01-01,101.19342830602247
2025-01-02,101.11689970368009
2025-01-03,102.61227677988148
2025-01-04,105.85833649269753
2025-01-05,105.59002974325087
2025-01-06,105.3217558293525
2025-01-07,108.68018146036728
2025-01-08,110.4150509186731
2025-01-09,109.6761021468032
2025-01-10,110.96122223397512
2025-01-11,110.2343868483502
2025-01-12,109.50292734120968
2025-01-13,110.18685188434176
2025-01-14,106.56029139502616
2025-01-15,103.3104557300001
2025-01-16,102.38588067151815
2025-01-17,100.5602184308493
2025-01-18,101.38871309603985
2025-01-19,99.77266494499743
2025-01-20,97.14805754232684
2025-01-21,100.27935508016995
2025-01-22,100.02780247919688
2025-01-23,100.36285888857273
2025-01-24,97.71336251614582
2025-01-25,96.82459706709545
2025-01-26,97.24644224651519
2025-01-27,95.14445509167058
2025-01-28,96.09585112836193
2025-01-29,95.09457374852431
2025-01-30,94.71118624893776
2025-01-31,93.70777302447897
2025-02-01,97.61232939349684
2025-02-02,97.78533494402097
2025-02-03,95.86991308610918
2025-02-04,97.71500291031555
2025-02-05,95.4733156103735
2025-02-06,96.09104280038302
2025-02-07,92.37170255262346
2025-02-08,89.9153304548266
2025-02-09,90.50905292656485
2025-02-10,92.18598608655567
2025-02-11,92.72872264893562
2025-02-12,92.69742608415913
2025-02-13,92.29521869298055
2025-02-14,89.5381747122457
2025-02-15,88.29848629545629
2025-02-16,87.57720875353671
2025-02-17,89.89145320597454
2025-02-18,90.77868978511147
2025-02-19,87.452609474386
2025-02-20,88.30077741317558
2025-02-21,87.73061285234296
2025-02-22,86.57676885173103
2025-02-23,88.00012142941277
2025-02-24,90.26212047440467
2025-02-25,92.32468071263708
2025-02-26,90.84624566619179
2025-02-27,90.42782091448936
2025-02-28,91.29034777729649
2025-03-01,93.44143803154121
2025-03-02,92.68308955585063
2025-03-03,92.511771602523
2025-03-04,90.49910165451094
2025-03-05,88.3066884063496
2025-03-06,90.131740051138
2025-03-07,93.04422010827965
2025-03-08,93.10019986511898
2025-03-09,95.30726566090303
2025-03-10,96.23053771099829
2025-03-11,95.14029820178804
2025-03-12,96.06308941280487
2025-03-13,99.33916254573681
2025-03-14,99.4675104675169
2025-03-15,102.79679777914492
2025-03-16,97.75730757096542
2025-03-17,99.60111257971587
2025-03-18,99.97520671619222
2025-03-19,99.57719201526048
2025-03-20,99.96071356833149
2025-03-21,96.1855757391297
2025-03-22,95.94623196345468
2025-03-23,96.86045710647818
2025-03-24,100.0162451959612
2025-03-25,99.17970475941391
2025-03-26,97.76271755362754
2025-03-27,96.95920346645846
2025-03-28,98.99000770186261
2025-03-29,99.84750992118198
2025-03-30,98.9879895136479
2025-03-31,100.21452437987462
2025-04-01,100.60867947857069
2025-04-02,102.74596945963647
2025-04-03,101.54186327188177
2025-04-04,101.08653897868624
2025-04-05,100.50232267242191
2025-04-06,97.77529277615768
2025-04-07,98.56753333028684
2025-04-08,99.28964387464661
2025-04-09,99.49987078793153
2025-04-10,99.23069652118124
2025-04-11,96.5999550370804
2025-04-12,95.95866439154969
2025-04-13,95.47323535849615
2025-04-14,94.06868082005292
2025-04-15,93.9461093967209
2025-04-16,94.95421111034997
2025-04-17,98.92658291277104
2025-04-18,99.47573853843471
2025-04-19,100.19083931988024
2025-04-20,100.2419474883479
2025-04-21,96.60440505774983
2025-04-22,96.7513773068514
2025-04-23,97.07183772673345
2025-04-24,102.19832195170402
2025-04-25,102.01360002214177
2025-04-26,102.816694706809
2025-04-27,102.94727116739851
2025-04-28,100.80991509215944
2025-04-29,103.29556072118949
2025-04-30,104.99942678656303
2025-05-01,106.78149068064913
2025-05-02,105.16271577105965
2025-05-03,108.16830439293184
2025-05-04,105.56460226734728
2025-05-05,106.93831645494782
2025-05-06,111.51922770656779
2025-05-07,109.73815505630641
2025-05-08,108.80555959710087
2025-05-09,109.20486232727615
2025-05-10,108.39791101904375
2025-05-11,105.49658415691148
2025-05-12,105.83371010652354
2025-05-13,103.90910267907132
2025-05-14,105.0562875403417
2025-05-15,103.41743907187409
2025-05-16,106.71730788190916
2025-05-17,105.3508012972367
2025-05-18,104.90667826482535
2025-05-19,106.73371269956468
2025-05-20,104.47198406669676
2025-05-21,105.12690393590503
2025-05-22,107.94118944446988
2025-05-23,104.92622297534743
2025-05-24,105.49549069241203
2025-05-25,106.21525628090889
2025-05-26,107.97890202446351
2025-05-27,105.70500060270734
2025-05-28,103.2640873765388
2025-05-29,104.50797050777258
2025-05-30,105.30193985423895
2025-05-31,106.00292555493071
2025-06-01,106.89582197392465
2025-06-02,105.73577253076768
2025-06-03,106.40027992508969
2025-06-04,107.18642487168705
2025-06-05,105.95772203563432
2025-06-06,109.88927105792382
2025-06-07,111.0369368997474
2025-06-08,108.8543299053421
2025-06-09,110.36743712260976
2025-06-10,108.61807378215512
2025-06-11,110.39224298964002
2025-06-12,112.90943414765484
2025-06-13,111.46806951095141
2025-06-14,113.59482176944006
2025-06-15,114.62038362331305
2025-06-16,116.46450394330203
2025-06-17,120.45808990860994
2025-06-18,120.16731367660418
2025-06-19,118.85984134788922
2025-06-20,117.28081248863816
2025-06-21,115.84919191870729
2025-06-22,115.89498849987908
2025-06-23,116.77729244951237
2025-06-24,117.5306740481724
2025-06-25,119.38504054624445
2025-06-26,119.61104433000027
2025-06-27,122.7181124843149
2025-06-28,122.38879881783899
2025-06-29,128.02913715101823
2025-06-30,129.48047184654823
