Richardson,Stabilized,Denoised,Hybrid
9961.040450268722,9963.392116228197,9964.644012448722,9957.803153694678
9962.98117595977,9964.14758208756,9962.934005045687,9959.4218019817
9965.224042275418,9965.484386842938,9966.988646660915,9961.201488970735
9967.193946304244,9967.156335492858,9966.696803955989,9963.212765623077
9969.089385191246,9968.96097309398,9967.46029971926,9965.20335596366
9970.819280346188,9970.79060402051,9970.177242575402,9967.146370577453
9972.56937377867,9972.613902827094,9972.046254177407,9968.98282546182
9974.37599052161,9974.430969517105,9972.181261638507,9970.776099620245
9976.261173591309,9976.23990332566,9975.640641117801,9972.576045070928
9978.201372529147,9978.028367635428,9978.437515640388,9974.418609331118
9979.847332710642,9979.784316532056,9979.992379078236,9976.309990930133
9981.694215172398,9981.5101320926,9981.272465935264,9978.078661820387
9983.014315759618,9983.224965113921,9983.896603330279,9979.886438496393
9984.809276515565,9984.95198232551,9984.372852967905,9981.450377128005
9986.767636762814,9986.703205112099,9987.195091289786,9983.129826821785
9988.411524505524,9988.477262863114,9988.060267962837,9984.9487317923
9990.283250812286,9990.270169053303,9990.975689072107,9986.680128148912
9992.032234616461,9992.08620941391,9991.736572634936,9988.481689480599
9993.82298280437,9993.938951772481,9993.447835330886,9990.25696204853
9995.610316041228,9995.841246616917,9995.621544178937,9992.03997242645
9997.660597600761,9997.7914278233,9997.683940106388,9993.825144233839
9999.88600595378,9999.768555180286,9999.807562122909,9995.7428709173
10001.922577368303,10001.742910649815,10001.755861356567,9997.81443843554
10003.614296912992,10003.690926297302,10004.177293384306,9999.868507901921
10005.772180207521,10005.599386318368,10005.098842153122,10001.741402407457
10007.537013400372,10007.459645208104,10007.373983754398,10003.756791307489
10009.441706952342,10009.263540968592,10010.421617093332,10005.64690235393
10011.12630223174,10011.004645111656,10011.570063289313,10007.544304653136
10012.818267974608,10012.67882837046,10012.991793554715,10009.335303442438
10014.346809292452,10014.281284449396,10013.592752352284,10011.076785708523
10016.07855142824,10015.806577707554,10015.714654408459,10012.711797500488
10017.518777308876,10017.25794285217,10017.445813324934,10014.395174464364
10018.64456123914,10018.657798967066,10019.201238604002,10015.95697588662
10019.822731841075,10020.042283934648,10020.31744995978,10017.30076856288
10021.311582643677,10021.43866405591,10021.23447277706,10018.561750201978
10022.934763426596,10022.848761617282,10022.99165028615,10019.936666422827
10024.464085148109,10024.257690091614,10023.95912031069,10021.435714924712
10025.616929239679,10025.656438615444,10025.675786335787,10022.94990003641
10026.9117209299,10027.051644475956,10026.038108388131,10024.283414638045
10028.458238067646,10028.455933733572,10030.193994010053,10025.597567783972
10029.854080859019,10029.876540846577,10030.170020930585,10027.027902925809
10031.328971264335,10031.3150932791,10031.092763163691,10028.440991892414
10032.65911337146,10032.770318540277,10032.510139787759,10029.884981578374
10034.152105398336,10034.230876609905,10034.17011464817,10031.272047474917
10035.82602999995,10035.66003972747,10035.606090976456,10032.712076436626
10037.31124031791,10036.986774105846,10037.713798895064,10034.269053218288
10038.741323587992,10038.117656307746,10039.114992674153,10035.790146768099
10040.109320307818,10038.971501829257,10039.585626211674,10037.265735178045
10040.043172680878,10039.516153542865,10040.081045153285,10038.687527742932
10040.043172680878,10039.77208291888,10040.22830665948,10040.043172680878
