Richardson,Stabilized,Denoised,Hybrid
13082.300560233061,13089.160900796433,13087.336464694738,13072.002893769752
13088.22052030801,13091.351187570279,13090.249569092157,13077.151727001406
13094.28829847421,13095.266653875395,13094.137773731503,13082.686123654708
13099.844506033709,13100.260775971092,13100.57848210546,13088.48721106446
13105.478480731355,13105.81139842212,13105.880670598079,13094.165858549084
13111.461889677017,13111.637041324408,13111.08100952424,13099.82216964022
13117.219790951498,13117.638949060227,13117.994281649391,13105.642029658618
13123.395149074993,13123.793839793183,13124.464035284007,13111.430910305058
13129.776650526204,13130.080015492418,13129.312472943686,13117.413029690026
13136.62712997818,13136.456282569807,13137.285837342253,13123.594840108115
13142.942070391944,13142.880674297408,13142.821166346379,13130.110985043148
13149.270173485871,13149.335339815363,13150.20196838643,13136.526527717546
13155.445945856902,13155.826870118675,13154.62167825182,13142.898350601708
13162.375131054183,13162.36540179898,13163.155428276934,13149.172148229305
13169.060013095876,13168.95063743032,13170.064276471472,13155.773639641744
13175.259720132142,13175.57631260395,13175.308313234624,13162.41682636881
13182.285578655003,13182.239295385432,13182.511720697814,13168.838273250476
13188.886626605507,13188.943831049015,13188.116435624666,13175.56192595274
13195.627050746234,13195.702676214478,13195.580949935164,13182.224276279123
13202.150483091596,13202.529230548931,13202.500898672648,13188.925663512679
13209.134193616963,13209.416616884624,13208.777761349937,13195.538073302137
13216.615227837941,13216.324450891427,13217.395819518913,13202.33613345955
13223.747618726728,13223.197080447178,13222.90462978292,13209.475680648746
13229.846530719355,13229.998055661497,13229.718324121788,13216.611649687737
13236.87252635309,13236.721541764804,13237.074004511824,13223.229090203546
13243.538417740709,13243.372396076888,13244.992083882913,13230.050808278318
13250.072060993147,13249.942940301871,13249.464675406349,13236.794613009513
13256.628101657712,13256.407868253998,13255.741680119443,13243.43333700133
13263.35286462822,13262.735826624776,13261.555519519692,13250.030719329521
13269.120091625597,13268.905542131048,13269.849141376091,13256.69179197887
13275.164289212124,13274.9145631464,13274.72663995874,13262.905941802233
13281.128069362008,13280.778761701142,13280.222614802678,13269.035115507178
13286.829274330476,13286.530604901574,13285.971905873328,13275.081592434593
13291.99131392413,13292.215624611405,13292.640508382236,13280.955433382534
13297.769469014065,13297.87865887001,13297.06652939198,13286.473373653333
13303.6062059749,13303.548016237775,13305.028402797812,13292.121421333699
13309.278339394581,13309.237661958443,13309.82469340027,13297.8638136543
13314.86707285529,13314.965436451977,13315.389800177907,13303.57107652444
13320.394847257836,13320.762327194408,13320.851308232559,13309.219074689865
13326.376374976566,13326.659805629442,13327.920062379959,13314.80696097385
13332.404666089427,13332.669935343376,13332.444666660851,13320.591667975208
13338.707938846965,13338.778097773025,13338.140500042022,13326.498167032318
13344.899741828165,13344.946241358406,13344.251413471711,13332.603052939641
13351.093140241332,13351.104842876368,13351.473006498632,13338.751397383903
13357.520691659316,13357.115838510506,13355.943857570677,13344.922268812617
13363.705258935483,13362.724603228617,13362.553341150984,13351.221480235967
13370.03671556413,13367.567030266997,13368.477791860969,13357.463369585725
13376.16458522766,13371.286857525349,13370.839672569335,13363.750042574928
13376.144859010274,13373.702526423058,13374.536400259827,13369.957313901294
13376.144859010274,13374.85404853369,13373.666848085742,13376.144859010274
