Richardson,Stabilized,Denoised,Hybrid
8246.634938819483,8246.268725880964,8247.39130007716,8247.472600980891
8246.271640525865,8246.16136976946,8246.647159000864,8247.053769900187
8245.990099487173,8245.965953359806,8245.560346422068,8246.662705213026
8245.80693063244,8245.705604157163,8245.471060865968,8246.3264023501
8245.52866083471,8245.395658246565,8245.090896469752,8246.06666649127
8245.153313062743,8245.046843514909,8245.659025975121,8245.79766366299
8244.626101966798,8244.67285112554,8244.69140105992,8245.475488362867
8244.228717704602,8244.288542113367,8244.817804765624,8245.050795164832
8243.87697701357,8243.900812786615,8245.115638776952,8244.639756434717
8243.641602272395,8243.505176918665,8243.31788873299,8244.258366724143
8243.120609288164,8243.09375577425,8242.12874231582,8243.94998449827
8242.763027987556,8242.665816202501,8242.559125252741,8243.535296893217
8242.074388826415,8242.229494682988,8242.082440832888,8243.149162440386
8241.814762072287,8241.794977328736,8241.336269001218,8242.6117756334
8241.436348683561,8241.369064080061,8242.395795602839,8242.213268852844
8240.812002378256,8240.956116106097,8240.11087998613,8241.824808768202
8240.559109379245,8240.560601007495,8240.41224592505,8241.318405573229
8240.1344817239,8240.187436839711,8239.846659063225,8240.938757476237
8239.791738778327,8239.842231258048,8241.691447103016,8240.536619600069
8239.443270006044,8239.531551949225,8239.029602502362,8240.164179189198
8239.09798242106,8239.259743513849,8240.910591087468,8239.803724597621
8238.970158191616,8239.023410313765,8239.562517148173,8239.450853509341
8238.885208014686,8238.810086487907,8239.35917806674,8239.210505850479
8238.572414418995,8238.603503539956,8237.78591958931,8239.047856932582
8238.426789276115,8238.390069898775,8238.83636843887,8238.810135675789
8238.255391772425,8238.161887860388,8238.596711145297,8238.618462475952
8237.936146015629,8237.9168605135,8237.317177803077,8238.436927124189
8237.614802325304,8237.657030651626,8238.507376271566,8238.186536569909
8237.484023878254,8237.385729006864,8236.974882001783,8237.900669447607
8237.076433598875,8237.105151920978,8237.08889316937,8237.69234666293
8236.801868892422,8236.81555411386,8236.185812982698,8237.384390130903
8236.60136235345,8236.516047912774,8236.702832954306,8237.093129511662
8236.248511904214,8236.206879353842,8237.023016546884,8236.847245932557
8235.79446883021,8235.891447236765,8236.132615075127,8236.547878918385
8235.656185997186,8235.575811104663,8234.614404894357,8236.171173874298
8235.206719207405,8235.266614671495,8235.409221531107,8235.913679935742
8234.89591270312,8234.96918549169,8234.344785625684,8235.560199571573
8234.701552477096,8234.685398921172,8235.599158273193,8235.228056137346
8234.342930020031,8234.411746039643,8234.386309402227,8234.964804307221
8234.204292527364,8234.139850662641,8234.044290388107,8234.653867163626
8233.914392685148,8233.860218134056,8233.561126367462,8234.429079845495
8233.589942453717,8233.56651921517,8233.305827634498,8234.171736265322
8233.287023296458,8233.256808620648,8233.664660663499,8233.880839359519
8232.925157431591,8232.931896499158,8233.536049316244,8233.583931327988
8232.677407817238,8232.596090218234,8231.552327480646,8233.25454437979
8232.289839992189,8232.263043137453,8232.991284656178,8232.965976098514
8231.795399991404,8231.959617573386,8232.170285986118,8232.627908045351
8231.360996898682,8231.717723818272,8232.136960535712,8232.211654018378
8231.401691879735,8231.557749058953,8232.159263901136,8231.78632545853
8231.401691879735,8231.481162001275,8231.070673478058,8231.401691879735
