Richardson,Stabilized,Denoised,Hybrid
13095.153765737938,13097.648702468205,13097.45741707769,13091.620643212005
13097.265178454085,13098.47236834234,13097.476526627263,13093.387204474971
13099.416831060205,13099.950941192885,13097.943764981012,13095.326191464528
13101.61999398943,13101.83705245985,13102.17355321287,13097.371511262367
13104.027513233952,13103.908386140454,13103.031089187012,13099.495752625899
13106.284430753714,13106.02167978941,13106.29632297723,13101.761632929925
13108.127984850636,13108.112226667847,13106.385495814024,13104.02303184182
13110.116260251874,13110.163201522695,13110.05079884266,13106.075508346228
13112.23621730028,13112.172001278777,13112.137856972508,13108.095884299051
13114.531292192258,13114.136900181973,13114.487397037701,13110.166050799666
13115.954114701093,13116.066485037049,13117.280343574761,13112.348671495962
13117.988095913566,13117.987664814416,13118.974823313603,13114.151393098527
13119.563952562152,13119.933382871508,13120.17531135384,13116.069744506047
13121.90993212868,13121.922526981816,13120.583277630356,13117.8168485341
13124.105841790373,13123.95618692199,13124.317490772904,13119.86339033139
13125.730252221982,13126.030957428171,13125.082271858644,13121.984616060881
13128.135296590895,13128.148224072229,13128.638867941323,13123.857434141431
13130.128492782334,13130.308818701082,13129.866558398626,13125.996365366163
13132.519628055998,13132.50422209943,13131.865602146208,13128.062429074249
13134.7494388284,13134.715629557675,13135.279451057684,13130.291028565123
13136.894963229608,13136.920648915848,13135.567081646042,13132.520233696761
13139.308859448942,13139.104511955085,13139.599324226792,13134.707598463185
13141.501550585734,13141.271068584227,13141.061124059734,13137.008228956063
13142.880033917714,13143.441227211404,13141.990644683314,13139.254889770898
13145.700536080645,13145.631830309801,13146.266625745662,13141.067461844306
13147.892879519728,13147.832778270738,13147.707014912357,13143.383998962476
13150.158094857168,13150.006208006176,13150.535696145442,13145.638439241102
13152.400271617604,13152.10552857371,13153.34416813441,13147.898267049135
13154.413869230399,13154.094900076529,13154.453067239154,13150.14926933337
13156.220268576068,13155.957975600693,13158.121188281317,13152.281569281884
13157.896189777277,13157.697474596449,13158.153831868773,13154.250918928976
13159.52610464735,13159.3315275487,13158.078244526976,13156.073554353126
13161.094261466855,13160.89000820135,13160.330112536893,13157.799829500238
13162.171169490677,13162.40686488455,13162.820219215384,13159.447045483546
13163.872102775098,13163.905759324782,13164.699728276713,13160.809107487112
13165.578851716613,13165.389849446314,13165.912948308329,13162.340605131105
13166.96340949032,13166.848780981043,13166.862881263181,13163.959728423859
13168.320200657407,13168.274910543087,13168.389157385966,13165.46156895709
13169.642639737269,13169.669593463597,13169.944100435952,13166.890884807248
13171.108611149637,13171.036722984105,13170.743270844518,13168.266762272258
13172.4989020788,13172.377316452144,13171.423224900882,13169.687686710948
13173.735895163982,13173.691062919142,13173.671071277175,13171.093294394874
13174.954139953283,13174.97546537473,13175.498517099557,13172.414594779428
13176.214327407653,13176.216693630937,13178.13498302701,13173.684367366355
13177.843431005394,13177.381482398296,13177.081589172318,13174.949347387004
13178.660718593064,13178.420452606366,13178.906807422172,13176.3963891962
13179.709118046938,13179.28102795355,13178.917837567018,13177.528553894632
13180.697135469822,13179.92361822552,13179.084729783255,13178.618835970785
13180.763652997008,13180.33569631073,13180.336344632073,13179.657985720303
13180.763652997008,13180.531811205554,13180.25378458905,13180.763652997008
