Richardson,Stabilized,Denoised,Hybrid
24189.24753087953,24195.301094864662,24194.901437496017,24180.115426192064
24194.43186096851,24197.215766553065,24197.28426086666,24184.681478535796
24199.837456336176,24200.60191820756,24199.60119988617,24189.556669752154
24205.000029517985,24204.837334360032,24204.801431764925,24194.697063044165
24209.68841280267,24209.421898512235,24210.010737298497,24199.848546281075
24214.14959374654,24214.112716344745,24213.875966717915,24204.76847954187
24218.362106343826,24218.873594898585,24219.253140686244,24209.459036644206
24223.026781826375,24223.741384075158,24223.078788971,24213.910571494016
24228.668958960072,24228.717927158763,24229.825859634995,24218.468676660195
24234.24180066598,24233.744244390982,24234.06634379729,24223.568817810134
24238.69813946254,24238.743820320757,24238.763088535503,24228.905309238056
24244.227645599407,24243.67502255758,24244.052644240615,24233.801724350298
24248.263977752704,24248.548395873288,24248.80099129638,24239.014684974853
24253.395039867482,24253.410802242986,24252.428605030538,24243.63933136378
24258.290493428045,24258.31939379397,24258.251471311385,24248.51718561563
24262.496750613536,24263.32017885501,24263.433195998085,24253.403839521838
24268.637638384516,24268.43736803559,24268.43485420825,24257.950295067687
24273.418584492836,24273.676777916513,24273.7247506768,24263.2939667261
24278.634505025846,24279.032179631646,24277.301180833667,24268.35627560947
24284.168850411865,24284.474717645688,24284.688890056143,24273.495390317657
24290.067216165935,24289.935622888923,24290.648193143454,24278.83212036476
24296.186103791115,24295.319767019966,24294.717081351133,24284.449668265348
24301.127892176217,24300.552564191203,24300.72831175147,24290.31788602823
24305.288872188547,24305.61107564345,24305.278164914045,24295.722889102224
24311.119489602355,24310.507999815665,24311.459944985985,24300.505880645385
24315.6674678317,24315.25797910939,24316.128979200043,24305.81268512387
24319.82933622127,24319.86175841332,24319.085607353856,24310.740076477785
24324.66891045768,24324.304931254006,24324.18740514084,24315.28470634953
24329.336269327338,24328.564045084287,24330.356006886766,24319.976808403604
24332.91076495414,24332.62528584629,24332.9929245638,24324.65653886547
24336.909094376257,24336.50554639489,24337.0021165576,24328.783651909805
24340.20168964695,24340.255265120348,24341.826430247238,24332.84637314303
24344.103707749724,24343.94191147885,24343.277620803852,24336.52403139499
24347.352043258677,24347.626643011583,24348.545810344163,24340.313869572357
24350.993321372076,24351.340297483213,24349.790961101913,24343.832956415517
24355.24439613556,24355.069264607922,24354.55239043129,24347.413138893797
24359.14931933125,24358.77162622499,24358.607470808798,24351.32876751468
24362.83891060545,24362.421050143766,24363.524069016792,24355.239043422964
24365.541365446603,24366.039124799318,24365.751791834075,24359.038977014206
24369.653579069174,24369.683514283977,24370.279391324933,24362.290171230405
24373.020340453233,24373.40549461072,24373.214091533166,24365.97187514979
24376.886156872526,24377.212711782147,24375.79282279533,24369.49610780151
24381.310870526086,24381.05375510196,24381.106526729633,24373.19113233702
24385.019778273567,24384.820729374165,24384.821513558803,24377.251001431552
24389.271340967218,24388.361528495647,24387.841845343817,24381.13538985256
24392.712580626303,24391.49767560007,24391.392723367142,24385.20336540989
24395.344188399857,24394.054940466543,24393.77162385541,24388.957973018096
24398.538282031008,24395.91524386184,24395.53009221546,24392.151080708976
24398.10466645854,24397.067361701032,24396.418739342796,24395.344681369992
24398.10466645854,24397.597527813123,24397.08952273233,24398.10466645854
