Richardson,Stabilized,Denoised,Hybrid
2270.70813648651,2270.4069469158812,2270.7037406643576,2271.268967844726
2270.4126681131866,2270.312674113782,2270.733972950215,2270.988552165618
2270.217269171096,2270.139610944569,2268.786069377409,2270.700610139402
2269.9843907995128,2269.908546263222,2269.562971544472,2270.458939655249
2269.715978360169,2269.636798304801,2269.3242810383595,2270.221665227381
2269.3711922718944,2269.337410162626,2270.3968372265463,2269.968821793775
2269.010697043734,2269.021238382491,2269.889077493715,2269.6700070328347
2268.668059818783,2268.6958916624044,2268.083684775725,2269.3403520382844
2268.3971617381617,2268.3632654430867,2268.521526382562,2269.004205928534
2268.0968328012937,2268.0208232485766,2268.819969881882,2268.7006838333477
2267.665310786169,2267.6665505839783,2268.345115455027,2268.3987583173207
2267.323110149594,2267.302248971478,2267.5463980642917,2268.032034551745
2266.901276928889,2266.9322890892677,2267.093230243334,2267.6775723506694
2266.5817774673333,2266.560734236267,2265.6806971947913,2267.289424639779
2266.200633082594,2266.190585466889,2265.4482532309385,2266.935601053556
2265.7640286002274,2265.824989955554,2263.7736553265486,2266.568117068075
2265.4890485014885,2265.468184840506,2265.4515718141442,2266.1660728341512
2265.066617110191,2265.125175096248,2263.8560681605445,2265.82756066782
2264.7340098366603,2264.8000755012363,2264.9021934241605,2265.4470888890055
2264.454932866271,2264.49348314469,2265.7991521399363,2265.090549362833
2264.1878908347085,2264.2011666048197,2264.183659605682,2264.772741114552
2263.9514024291334,2263.9166032794933,2262.4049104083024,2264.4803159746302
2263.6494039766935,2263.635841684688,2264.315437222886,2264.215859201882
2263.292926617357,2263.3596258742527,2263.291133693939,2263.9326315892877
2263.0702806248382,2263.090295904555,2263.3433928315453,2263.6127791033223
2262.8284853968025,2262.826988974023,2261.5821354538325,2263.3415298640803
2262.580956101111,2262.563981229294,2261.928398065422,2263.0850076304414
2262.3251207841363,2262.2925428803082,2261.6530079547483,2262.832981865776
2262.0701638875685,2262.003626167968,2262.4733798735406,2262.5790513249563
2261.742994743301,2261.6899839151815,2262.9559269207093,2262.3246076062624
2261.4346951617063,2261.348370814171,2261.669662014401,2262.0338011747817
2261.03701257678,2260.981805357547,2260.658373415864,2261.734248168244
2260.590711941634,2260.599691567444,2260.371529416786,2261.385630372512
2260.143584427466,2260.213696626901,2260.072008945214,2260.988171157073
2259.833466834962,2259.8314428496615,2260.503634785031,2260.5658777922695
2259.450876914228,2259.453509715812,2259.1976674944904,2260.199672313616
2259.115590214366,2259.0763890130866,2259.303089740758,2259.825274613922
2258.696149727478,2258.6979295516335,2258.8817822270735,2259.470432414144
2258.3007580943627,2258.3201620022946,2258.9569823316224,2259.083291070811
2257.924792902437,2257.9481200496048,2258.249393113697,2258.692024582587
2257.5513907181817,2257.5869748064138,2256.3320841993805,2258.308408742512
2257.2017364427,2257.2398202223712,2256.9208161160736,2257.9298997303467
2256.878609713905,2256.906904183577,2257.731595452399,2257.5658180865234
2256.5663019563644,2256.586789041722,2257.553677882841,2257.2222139002142
2256.29149147704,2256.280194907293,2257.2424570873604,2256.8942579282893
2255.950787614255,2255.9950954645487,2255.7072467138755,2256.5928747026646
2255.6102974761066,2255.7479878010654,2255.459983120064,2256.27183115846
2255.3126053225333,2255.557295083387,2255.5329246771016,2255.9410643172832
2255.3068677563524,2255.433123109691,2255.014500236061,2255.6268348199083
2255.3068677563524,2255.3738713482635,2255.3350670337536,2255.3068677563524
