Richardson,Stabilized,Denoised,Hybrid
17031.983166748247,17033.75161548693,17034.272599320087,17029.17065301231
17033.500602010812,17034.303402466285,17034.126438758514,17030.576909880278
17035.16025674831,17035.281861044565,17035.077090290335,17032.038755945545
17036.468148212032,17036.519369754908,17036.181238146608,17033.599506346927
17037.80790000442,17037.896345787918,17039.22414280623,17035.03382727948
17039.202357783593,17039.374646028675,17040.24071219464,17036.42086364195
17040.464778687565,17040.970406040753,17041.24739069439,17037.81161071277
17042.2877996204,17042.702464718852,17042.66145054582,17039.13819470017
17044.400546074285,17044.553948261288,17044.507806469916,17040.712997160284
17046.637488630575,17046.467518209727,17046.864758677308,17042.556771617285
17048.50093883723,17048.370260351196,17048.340022630397,17044.59713012393
17050.641392394587,17050.20603828014,17050.38617258717,17046.54903448058
17051.990136854154,17051.955970663155,17052.27794277282,17048.595213437584
17053.811156568565,17053.642467500867,17054.26119512728,17050.29267514587
17055.257658855433,17055.320398954438,17055.04364461486,17052.051915857217
17056.505000912126,17057.057196285125,17055.84409000584,17053.654787356325
17058.637537785402,17058.90562575807,17060.121720895335,17055.079894134225
17060.595995690728,17060.883115534496,17060.292860933016,17056.858715959814
17062.89108103371,17062.970859171837,17064.091076783574,17058.72735582527
17065.070580928976,17065.12744508995,17064.886812790977,17060.80921842949
17067.256003703693,17067.30175242814,17067.04515602106,17062.939899679233
17069.763377123436,17069.442308996153,17069.17526672394,17065.097951691463
17071.907383103888,17071.509504248294,17071.685865469364,17067.43066440745
17073.434002136564,17073.486151008292,17072.067841078395,17069.66902375567
17075.54307474836,17075.374747596226,17075.25970837571,17071.551512946116
17077.473202586065,17077.18524745177,17076.917212157066,17073.547293847238
17078.927262878173,17078.926951506888,17078.108389998462,17075.51024821665
17080.66699999195,17080.60596395357,17080.552224049243,17077.218755547412
17082.453876005668,17082.222655768437,17082.676424314323,17078.94287776968
17083.88438796655,17083.770446523507,17083.771201982996,17080.698376887674
17085.372971976725,17085.239244296987,17085.48962460444,17082.291382427113
17086.923207948887,17086.622693439167,17086.829598517837,17083.83217720192
17088.147950448834,17087.925526593535,17088.55550180864,17085.377692575403
17089.023597477626,17089.163477946575,17088.719728165164,17086.76282151212
17090.41202607533,17090.3522838382,17090.67962562776,17087.893209494872
17091.75106825602,17091.497697280225,17091.87115894878,17089.1526177851
17092.659276054696,17092.599858620546,17092.922141742034,17090.45184302056
17093.6986425941,17093.664880943506,17093.617592822986,17091.555559537628
17094.706981413136,17094.70696847607,17094.938896860036,17092.627101065864
17095.663482003383,17095.73943716811,17094.654435878125,17093.6670412395
17096.80912537429,17096.767188578706,17096.657989675758,17094.66526162144
17097.92496994276,17097.788589351945,17097.503490583906,17095.737193497866
17098.72118284304,17098.8000599464,17097.967531897713,17096.831081720313
17099.712746141053,17099.79193882423,17100.02453752197,17097.776132281677
17101.00754017958,17100.737209014333,17100.309309773285,17098.744439211365
17101.885332168466,17101.587825780854,17101.410518759058,17099.875989695473
17102.682467125076,17102.287913033837,17103.06863695651,17100.88066093197
17103.52504137935,17102.79761815726,17102.87965509901,17101.781564028523
17103.386025945343,17103.11160510747,17103.791300427332,17102.653302703937
17103.386025945343,17103.255054650195,17102.955385099453,17103.386025945343
